,repositorio_name,repositorio_language,repositorio_fork
0,app-store-server-library-java,Java,16
1,app-store-server-library-node,TypeScript,10
2,app-store-server-library-python,Python,14
3,app-store-server-library-swift,Swift,9
4,apple-llvm-infrastructure-tools,C++,23
5,apple_rules_lint,Starlark,18
6,ARKitScenes,Python,52
7,AudioUnit-Examples,Swift,3
8,AudioUnitSDK,C++,26
9,axlearn,Python,73
10,batch-processing-gateway,Java,33
11,ccs-caldavclientlibrary,HTML,24
12,ccs-caldavtester,Python,33
13,ccs-calendarserver,Python,147
14,ccs-pycalendar,Python,34
15,ccs-pykerberos,C,61
16,ccs-pyopendirectory,C++,23
17,ccs-pyosxframeworks,Python,26
18,ccs-pysecuretransport,Python,20
19,ccs-twistedextensions,Python,27
20,coremltools,Python,568
21,cups,C,460
22,darwin-libplatform,C,51
23,darwin-libpthread,C,65
24,darwin-xnu,C,1659
25,device-management,,41
26,dnikit,Python,2
27,example-package-dealer,Swift,116
28,example-package-deckofplayingcards,Swift,74
29,example-package-figlet,Swift,1
30,example-package-fisheryates,Swift,65
31,example-package-playingcard,Swift,111
32,FHIRModels,Swift,32
33,foundationdb,C++,1283
34,fstools,C,21
35,game-center-tools,Python,0
36,GCGC,Jupyter Notebook,44
37,homebrew-apple,Ruby,76
38,HomeKitADK,C,234
39,indexstore-db,C++,69
40,learning-compressible-subspaces,Python,5
41,learning-subspaces,Python,18
42,llvm-monorepo-root,,8
43,llvm-project,,311
44,llvm-project-v5,C++,10
45,llvm-project-v5-split,C++,7
46,MaterialX,,1
47,ml-afv,Python,18
48,ml-all-pairs,Python,20
49,ml-ane-transformers,Python,76
50,ml-aspanformer,Python,18
51,ml-autofocusformer,Python,6
52,ml-autofocusformer-segmentation,Python,1
53,ml-batchquant,Python,7
54,ml-behavioral-testing-for-mt,,0
55,ml-calibration,Jupyter Notebook,1
56,ml-capsules-inverted-attention-routing,Python,24
57,ml-cifar-10-faster,Python,17
58,ml-code-switched-speech-translation,Python,11
59,ml-codeswitching-translations,,0
60,ml-collegial-ensembles,Python,7
61,ml-core,Python,9
62,ml-covid-mobility,R,6
63,ml-cread,Python,13
64,ml-cvnets,Python,194
65,ml-cvpr2019-swd,Python,24
66,ml-dab,Python,6
67,ml-data-parameters,Python,22
68,ml-destseg,Python,3
69,ml-dms-dataset,Python,11
70,ml-dprecs,Jupyter Notebook,1
71,ml-dr,Python,3
72,ml-duet,Python,2
73,ml-entropy-reconstruction,Python,2
74,ml-envmapnet,Python,10
75,ml-equivariant-neural-rendering,Jupyter Notebook,24
76,ml-facelit,Python,35
77,ml-fastvit,Python,90
78,ml-fct,Python,7
79,ml-ferret,Python,16
80,ml-finerecon,Python,10
81,ml-flair,Jupyter Notebook,12
82,ml-gaudi,,23
83,ml-gmpi,Python,31
84,ml-gsn,Python,44
85,ml-heart-rate-models,Python,3
86,ml-hierarchical-confusion-matrix,TypeScript,27
87,ml-hypersim,Python,128
88,ml-interspeech2022-phi_rtn,,2
89,ml-knowledge-conflicts,Python,19
90,ml-live-pose,,3
91,ml-mkqa,Python,20
92,ml-mobileone,Swift,56
93,ml-multiple-futures-prediction,Python,25
94,ml-ncg,Python,9
95,ml-neilf,Python,6
96,ml-neilfpp,Python,4
97,ml-neuman,Python,143
98,ml-no-token-left-behind,Jupyter Notebook,13
99,ml-nvas3d,Python,2
100,ml-pointconvformer,Python,4
101,ml-pointersect,Python,7
102,ml-probabilistic-attention,Python,8
103,ml-projunit,Python,0
104,ml-qrecc,Python,19
105,ml-quant,Python,22
106,ml-reed,Python,0
107,ml-robust-expert-augmentations,Python,0
108,ml-sad,Python,6
109,ml-selfcond,Python,5
110,ml-shuffling-amplification,Python,10
111,ml-sigma-reparam,Python,0
112,ml-spatial-librispeech,,5
113,ml-spin,Python,3
114,ml-stable-diffusion,Python,806
115,ml-stuttering-events-dataset,Python,24
116,ml-symphony,Svelte,2
117,ml-tract,Python,2
118,ml-transcript-translation-consistency-ratings,,7
119,ml-translate-vis,TypeScript,1
120,ml-tree-dst,Python,9
121,ml-tune-mode-convbn,Python,0
122,ml-upscale,Jupyter Notebook,8
123,ml-uwac,Python,7
124,ml-vfi-smiff,Python,2
125,openjdk,Java,21
126,password-manager-resources,JavaScript,432
127,sample-backyard-birds,Swift,36
128,sample-cloudkit-coredatasync,Swift,15
129,sample-cloudkit-encryption,Swift,11
130,sample-cloudkit-privatedb,Swift,15
131,sample-cloudkit-privatedb-sync,Swift,15
132,sample-cloudkit-queries,Swift,12
133,sample-cloudkit-sharing,Swift,33
134,sample-cloudkit-sync-engine,Swift,5
135,sample-cloudkit-tooling,JavaScript,7
136,sample-cloudkit-zonesharing,Swift,4
137,sample-food-truck,Swift,130
138,servicetalk,Java,171
139,sourcekit-lsp,Swift,292
140,swift,C++,10363
141,swift-3-api-guidelines-review,Swift,75
142,swift-algorithms,Swift,433
143,swift-argument-parser,Swift,298
144,swift-asn1,Swift,12
145,swift-async-algorithms,Swift,173
146,swift-async-dns-resolver,Swift,2
147,swift-atomics,Swift,48
148,swift-book,Markdown,134
149,swift-cassandra-client,Swift,12
150,swift-certificates,Swift,28
151,swift-clang,C++,176
152,swift-clang-tools-extra,C++,18
153,swift-cluster-membership,Swift,18
154,swift-cmake-examples,CMake,4
155,swift-cmark,C,82
156,swift-collections,Swift,253
157,swift-collections-benchmark,Swift,21
158,swift-community-hosted-continuous-integration,,59
159,swift-compiler-rt,C,65
160,swift-corelibs-foundation,Swift,1130
161,swift-corelibs-libdispatch,C,460
162,swift-corelibs-xctest,Swift,266
163,swift-crypto,C,140
164,swift-distributed-actors,Swift,50
