,repositorio_name,repositorio_language,repositorio_fork
0,.github,,3
1,aegisthus,Java,92
2,af_tsa,C,4
3,aminator,Python,178
4,apache-pyiceberg,Java,0
5,archaius,Java,489
6,asgard,Groovy,435
7,astyanax,Java,407
8,atlas,Scala,281
9,atlas-docs,Python,26
10,aws-autoscaling,Shell,93
11,awsobjectmapper,Groovy,42
12,batch_request_api,Ruby,19
13,batch_request_client,Ruby,11
14,bbparse,C,7
15,bettertls,Go,27
16,blesk,JavaScript,23
17,bless,Python,236
18,blitz4j,Java,123
19,brutal,Python,47
20,cachemover,C++,6
21,CassJMeter,Java,72
22,chaosmonkey,Go,1083
23,Cloud-Prize,,460
24,codec_compare,Python,13
25,concurrency-limits,Java,297
26,conductor,Java,2317
27,conductor-community,Java,67
28,conductor-docs,Python,2
29,conductor-ui,JavaScript,11
30,consoleme,Python,251
31,curator,Java,443
32,denominator,Java,120
33,derand,Java,6
34,dgs,HTML,51
35,dgs-codegen,Kotlin,89
36,dgs-examples-java,Java,60
37,dgs-examples-java-2.7,Java,4
38,dgs-examples-java.latest,Java,3
39,dgs-examples-java16,Java,9
40,dgs-examples-kotlin,Kotlin,40
41,dgs-examples-kotlin-2.7,Kotlin,4
42,dgs-examples-webflux,Java,7
43,dgs-federation-example,Kotlin,44
44,dgs-framework,Kotlin,270
45,dgs-intellij-plugin,Kotlin,11
46,dial-reference,C,83
47,dispatch,Python,443
48,dispatch-docker,Shell,86
49,dyno,Java,131
50,dyno-queues,Java,63
51,dynomite,C,540
52,dynomite-manager,Java,65
53,e2nest,Python,1
54,eclipse-jifa,Java,3
55,eclipse-mat,,0
56,edda,Scala,140
57,edda-client,Java,10
58,element-server,JavaScript,9
59,ember-batch-request,JavaScript,12
60,ember-nf-graph,JavaScript,46
61,ember-nf-graph-examples,JavaScript,22
62,eslint-config-netflix,JavaScript,24
63,eslint-config-netflix-dea,JavaScript,11
64,eureka,Java,3738
65,eureka-ui,JavaScript,20
66,EVCache,Java,247
67,fabricator,Java,14
68,falcor,JavaScript,516
69,falcor-datasource-chainer,JavaScript,16
70,falcor-express,JavaScript,24
71,falcor-express-demo,HTML,53
72,falcor-hapi,JavaScript,26
73,falcor-hapi-demo,HTML,13
74,falcor-http-datasource,JavaScript,33
75,falcor-json-graph,JavaScript,20
76,falcor-observable,JavaScript,13
77,falcor-path-syntax,JavaScript,20
78,falcor-path-utils,JavaScript,21
79,falcor-restify,JavaScript,18
80,falcor-restify-demo,HTML,14
81,falcor-router,JavaScript,45
82,falcor-router-demo,JavaScript,61
83,fast_jsonapi,Ruby,427
84,Fenzo,Java,116
85,Fido,C#,168
86,flamescope,Python,177
87,frigga,Java,53
88,genie,Java,368
89,glisten,Groovy,31
90,go-env,Go,55
91,go-expect,Go,61
92,go-iomux,Go,1
93,governator,Java,189
94,gradle-template,Java,112
95,hal-9001,Go,23
96,hollow,Java,206
