,repositorio_name,repositorio_language,repositorio_fork
0,5t5g,C++,9
1,ADLR,,0
2,ai-assisted-annotation-client,C++,62
3,ai-workspace-operator,,2
4,air_agent,Python,3
5,air_sdk,Python,4
6,ais-etl,Python,8
7,ais-k8s,Go,14
8,aistore,Go,137
9,AMGX,Cuda,132
10,ansible-collection-dpu-ops,Python,3
11,ansible-role-enroot,,15
12,ansible-role-nvidia-docker,Shell,23
13,ansible-role-nvidia-driver,Jinja,56
14,apex,Python,1292
15,apt-packaging-cuda-keyring,Shell,0
16,apt-packaging-fabric-manager,,4
17,apt-packaging-libnvidia-nscq,,5
18,arm-kernels,C++,1
19,atex,Python,7
20,aws-kube-ci,HCL,1
21,BigVGAN,Python,65
22,BioNeMo,,4
23,blossom-action,,2
24,bluebazel,TypeScript,2
25,Bobber,Python,5
26,build-system-archive-import-examples,Python,3
27,caffe,C++,271
28,cbootimage,C,29
29,cbootimage-configs,Makefile,23
30,cccl,C++,52
31,cccl_devcontainers,,4
32,cdt-gdb-adapter,,0
33,cdt-nsight,Java,5
34,cheminformatics,Jupyter Notebook,38
35,clara-dicom-adapter,C#,14
36,clara-ia,Shell,2
37,clara-pipeline-operator-sizing-tool,Python,5
38,clara-platform-ansible-playbooks,Jinja,1
39,clara-platform-python-client,Python,5
40,clara-train-examples,HTML,76
41,clara-viz,C++,11
42,CleanUNet,Python,43
43,cloud-native-docs,HTML,3
44,cloud-native-stack,Markdown,42
45,Cloud-Trust-Scripts,,0
46,CloudXR,C++,18
47,cnmem,C++,76
48,cnt-dockerfile-samples,Dockerfile,1
49,cocoapi,C++,26
50,CoMD-CUDA,C,20
51,compute-sanitizer-samples,Cuda,13
52,container-canary,Go,9
53,container-config,Go,6
54,ContrastiveLosses4VRD,Jupyter Notebook,43
55,cpu-microcode,,6
56,cstruct,Go,3
57,cub,Cuda,491
58,cuCollections,C++,70
59,cuda-cpp-grammar,,1
60,cuda-gdb,C,62
61,cuda-profiler,Python,23
62,cuda-python,Python,89
63,cuda-quantum,C++,86
64,cuda-repo-management,Shell,5
